Timestamp,CupState,CurrentWeight,EmergencyStop,FanOn,HeatCoverClosed,HeaterOn,HeatingTimePercent,PotAvailable,Produce,ScaleCupDown,ScaleCupUp,SwitchToPot,TrackSwitchAtCup,TrackSwitchAtPot,TurnScaleCup
1.51636E+12,1,0.092366897,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.153944835,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.092366897,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.123155862,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.123155862,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.092366897,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.092366897,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.123155862,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.061577931,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.092366897,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.123155862,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.123155862,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.123155862,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.123155862,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.061577931,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.092366897,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.153944835,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.092366897,1,0,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.092366897,1,0,1,0,0,1,0,0,1,0,1,0,0
