Timestamp,SiloFull,SiloMinFull,Aspirator.O_xOn,BeltConveyor.O_xOn,FunnelBlocked
1515157696042,0,1,0,0,0
1515157696143,0,1,0,0,0
1515157696243,0,1,0,0,0
1515157696344,0,1,0,0,0
1515157696444,0,1,0,0,0
1515157696544,0,1,0,0,0
1515157696644,0,1,0,0,0
1515157696744,0,1,0,0,0
1515157696844,0,1,0,0,0
1515157696944,0,1,0,0,0
1515157697045,0,1,0,0,0
1515157697145,0,1,0,0,0
1515157697245,0,1,0,0,0
1515157697345,0,1,0,0,0
1515157697445,0,1,0,0,0
1515157697545,0,1,0,0,0
1515157697645,0,1,0,0,0
1515157697746,0,1,0,0,0
1515157697846,0,1,0,0,0
1515157697946,0,1,0,0,0
1515157698046,0,1,0,0,0
1515157698146,0,1,0,0,0
1515157698246,0,1,0,0,0
1515157698346,0,1,0,0,0
1515157698446,0,1,0,0,0
1515157698547,0,1,0,0,0
1515157698647,0,1,0,0,0
1515157698747,0,1,0,0,0
1515157698847,0,1,0,0,0
1515157698947,0,1,0,0,0
1515157699047,0,1,0,0,0
1515157699147,0,1,0,0,0
1515157699248,0,1,0,0,0
1515157699348,0,1,0,0,0
1515157699448,0,1,0,0,0
1515157699548,0,1,0,0,0
1515157699648,0,1,0,0,0
1515157699748,0,1,0,0,0
1515157699849,0,1,0,0,0
1515157699949,0,1,0,0,0
1515157700049,0,1,0,0,0
1515157700149,0,1,0,0,0
1515157700249,0,1,0,0,0
1515157700349,0,1,0,0,0
1515157700449,0,1,0,0,0
1515157700549,0,1,0,0,0
1515157700650,0,1,0,0,0
1515157700750,0,1,0,0,0
1515157700850,0,1,0,0,0
1515157700950,0,1,0,0,0
1515157701050,0,1,0,0,0
1515157701150,0,1,0,0,0
1515157701250,0,1,0,0,0
1515157701350,0,1,0,0,0
1515157701451,0,1,0,0,0
1515157701551,0,1,0,0,0
1515157701651,0,1,0,0,0
1515157701751,0,1,0,0,0
1515157701851,0,1,0,0,0
1515157701951,0,1,0,0,0
1515157702051,0,1,0,0,0
1515157702151,0,1,0,0,0
1515157702252,0,1,0,0,0
1515157702352,0,1,0,0,0
1515157702452,0,1,0,0,0
1515157702552,0,1,0,0,0
1515157702652,0,1,0,0,0
1515157702752,0,1,0,0,0
1515157702852,0,1,0,0,0
1515157702952,0,1,0,0,0
1515157703053,0,1,0,0,0
1515157703153,0,1,0,0,0
1515157703253,0,1,0,0,0
1515157703353,0,1,0,0,0
1515157703453,0,1,0,0,0
1515157703553,0,1,0,0,0
1515157703653,0,1,0,0,0
1515157703753,0,1,0,0,0
1515157703854,0,1,0,0,0
1515157703954,0,1,0,0,0
1515157704054,0,1,0,0,0
1515157704154,0,1,0,0,0
1515157704254,0,1,0,0,0
1515157704354,0,1,0,0,0
1515157704454,0,1,0,0,0
1515157704555,0,1,0,0,0
1515157704655,0,1,0,0,0
1515157704755,0,1,0,0,0
1515157704855,0,1,0,0,0
1515157704955,0,1,0,0,0
1515157705055,0,1,0,0,0
1515157705155,0,1,0,0,0
1515157705255,0,1,0,0,0
