Timestamp,O_BottleClampClose,O_CapScrewDown,O_CapScrewerGrabberOpenClose,O_CloseCap
1529500026469,0,0,0,0
1529500026570,0,0,0,0
1529500026670,0,0,0,0
1529500026770,0,0,0,0
1529500026871,0,0,0,0
1529500026971,0,0,0,0
1529500027071,0,0,0,0
1529500027171,0,0,0,0
1529500027271,0,0,0,0
1529500027371,0,0,0,0
1529500027472,0,0,0,0
1529500027572,0,0,0,0
1529500027672,0,0,0,0
1529500027772,0,0,0,0
1529500027872,0,0,0,0
1529500027972,0,0,0,0
1529500028072,0,0,0,0
1529500028172,0,0,0,0
1529500028273,0,0,0,0
1529500028373,0,0,0,0
1529500028473,0,0,0,0
1529500028573,0,0,0,0
1529500028673,0,0,0,0
1529500028773,0,0,0,0
1529500028874,0,0,0,0
1529500028974,0,0,0,0
1529500029074,0,0,0,0
1529500029174,0,0,0,0
1529500029274,0,0,0,0
1529500029374,0,0,0,0
1529500029474,0,0,0,0
1529500029575,0,0,0,0
1529500029675,0,0,0,0
1529500029775,0,0,0,0
1529500029875,0,0,0,0
1529500029975,0,0,0,0
1529500030075,0,0,0,0
1529500030176,0,0,0,0
1529500030276,0,0,0,0
1529500030376,0,0,0,0
1529500030476,0,0,0,0
1529500030576,0,0,0,0
1529500030676,0,0,0,0
1529500030777,0,0,0,0
1529500030877,0,0,0,0
1529500030977,0,0,0,0
1529500031077,0,0,0,0
1529500031177,0,0,0,0
1529500031277,0,0,0,0
1529500031377,0,0,0,0
1529500031478,0,0,0,0
1529500031578,0,0,0,0
1529500031678,0,0,0,0
1529500031778,0,0,0,0
1529500031878,0,0,0,0
1529500031978,0,0,0,0
1529500032079,0,0,0,0
1529500032179,0,0,0,0
1529500032279,0,0,0,0
1529500032379,0,0,0,0
1529500032479,0,0,0,0
1529500032579,0,0,0,0
1529500032680,0,0,0,0
1529500032780,0,0,0,0
1529500032880,0,0,0,0
1529500032980,0,0,0,0
1529500033080,0,0,0,0
1529500033180,0,0,0,0
1529500033281,0,0,0,0
1529500033381,0,0,0,0
1529500033481,0,0,0,0
1529500033581,0,0,0,0
1529500033681,0,0,0,0
1529500033781,0,0,0,0
1529500033882,0,0,0,0
1529500033982,0,0,0,0
1529500034082,0,0,0,0
1529500034182,0,0,0,0
1529500034282,0,0,0,0
1529500034382,0,0,0,0
1529500034483,0,0,0,0
1529500034583,0,0,0,0
1529500034683,0,0,0,0
1529500034783,0,0,0,0
1529500034883,0,0,0,0
1529500034984,0,0,0,0
1529500035084,0,0,0,0
1529500035184,0,0,0,0
1529500035284,0,0,0,0
1529500035384,0,0,0,0
1529500035484,0,0,0,0
1529500035585,0,0,0,0
1529500035685,0,0,0,0
1529500035785,0,0,0,0
1529500035885,0,0,0,0
1529500035985,0,0,0,0
1529500036085,0,0,0,0
1529500036186,0,0,0,0
1529500036286,0,0,0,0
1529500036386,0,0,0,0
1529500036486,0,0,0,0
1529500036586,0,0,0,0
1529500036686,0,0,0,0
1529500036787,0,0,0,0
1529500036887,0,0,0,0
1529500036987,0,0,0,0
1529500037087,0,0,0,0
1529500037187,0,0,0,0
1529500037287,0,0,0,0
1529500037388,0,0,0,0
1529500037488,0,0,0,0
1529500037588,0,0,0,0
1529500037688,0,0,0,0
1529500037788,0,0,0,0
1529500037888,0,0,0,0
1529500037989,0,0,0,0
1529500038089,0,0,0,0
1529500038189,0,0,0,0
1529500038289,0,0,0,0
1529500038389,0,0,0,0
1529500038490,0,0,0,0
1529500038590,0,0,0,0
1529500038690,0,0,0,0
1529500038790,0,0,0,0
1529500038890,0,0,0,0
1529500038990,0,0,0,0
1529500039091,0,0,0,0
1529500039191,0,0,0,0
1529500039291,0,0,0,0
1529500039391,0,0,0,0
1529500039491,0,0,0,0
1529500039591,0,0,0,0
1529500039692,0,0,0,0
1529500039792,0,0,0,0
1529500039892,0,0,0,0
1529500039992,0,0,0,0
1529500040092,0,0,0,0
1529500040193,0,0,0,0
1529500040293,0,0,0,0
1529500040393,0,0,0,0
1529500040493,0,0,0,0
1529500040593,0,0,0,0
1529500040693,0,0,0,0
1529500040794,0,0,0,0
1529500040894,0,0,0,0
1529500040994,0,0,0,0
1529500041094,0,0,0,0
1529500041194,0,0,0,0
1529500041294,0,0,0,0
1529500041395,0,0,0,0
1529500041495,0,0,0,0
1529500041595,0,0,0,0
1529500041695,0,0,0,0
1529500041795,0,0,0,0
1529500041895,0,0,0,0
1529500041996,0,0,0,0
1529500042096,0,0,0,0
1529500042196,0,0,0,0
1529500042296,0,0,0,0
1529500042396,0,0,0,0
1529500042496,0,0,0,0
1529500042597,0,0,0,0
1529500042697,0,0,0,0
1529500042797,0,0,0,0
1529500042897,0,0,0,0
1529500042997,0,0,0,0
1529500043097,0,0,0,0
1529500043198,0,0,0,0
1529500043298,0,0,0,0
1529500043398,0,0,0,0
1529500043498,0,0,0,0
1529500043598,0,0,0,0
1529500043699,0,0,0,0
1529500043799,0,0,0,0
1529500043899,0,0,0,0
1529500043999,0,0,0,0
1529500044099,0,0,0,0
1529500044199,0,0,0,0
1529500044300,0,0,0,0
1529500044400,0,0,0,0
1529500044500,0,0,0,0
1529500044600,0,0,0,0
1529500044700,0,0,0,0
1529500044800,0,0,0,0
1529500044901,0,0,0,0
1529500045001,0,0,0,0
1529500045101,0,0,0,0
1529500045201,0,0,0,0
1529500045301,0,0,0,0
1529500045401,0,0,0,0
1529500045502,0,0,0,0
1529500045602,0,0,0,0
1529500045702,0,0,0,0
1529500045802,0,0,0,0
1529500045902,0,0,0,0
1529500046002,0,0,0,0
1529500046103,0,0,0,0
1529500046203,0,0,0,0
1529500046303,0,0,0,0
1529500046403,0,0,0,0
1529500046503,0,0,0,0
1529500046604,0,0,0,0
1529500046704,0,0,0,0
1529500046804,0,0,0,0
1529500046904,0,0,0,0
1529500047004,0,0,0,0
1529500047104,0,0,0,0
1529500047205,0,0,0,0
1529500047305,0,0,0,0
1529500047405,0,0,0,0
1529500047505,0,0,0,0
1529500047605,0,0,0,0
1529500047705,0,0,0,0
1529500047806,0,0,0,0
1529500047906,0,0,0,0
1529500048006,0,0,0,0
1529500048106,0,0,0,0
1529500048206,0,0,0,0
1529500048306,0,0,0,0
1529500048407,0,0,0,0
1529500048507,0,0,0,0
1529500048607,0,0,0,0
1529500048707,0,0,0,0
1529500048807,0,0,0,0
1529500048907,0,0,0,0
1529500049008,0,0,0,0
1529500049108,0,0,0,0
1529500049208,0,0,0,0
1529500049308,0,0,0,0
1529500049408,0,0,0,0
1529500049508,0,0,0,0
1529500049609,0,0,0,0
1529500049709,0,0,0,0
1529500049809,0,0,0,0
1529500049909,0,0,0,0
1529500050009,0,0,0,0
1529500050109,0,0,0,0
1529500050210,0,0,0,0
1529500050310,0,0,0,0
1529500050410,0,0,0,0
1529500050510,0,0,0,0
1529500050610,0,0,0,0
